StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,"Informed consent ",Q1.1,Q1.2,Q1.3,Q1.4,Q1.5,Q2.1,Q2.2,Q2.3,Q2.4,Q2.5,Q3.1,Q3.2,Q3.3,Q3.4,Q3.5,Q4.1,Q4.2,Q4.3,Q4.4,Q4.5,Q5.1,Q5.2,Q5.3,Q5.4,Q5.5,Q6.1,Q6.2,Q6.3,Q6.4,Q6.5
2024-01-29 13:13:32,2024-01-29 13:23:05,IP Address,84.241.199.149,100,573,True,2024-01-29 13:23:06,R_7qOStx2k1LcTlme,,,,,52.0093,4.3447,anonymous,EN,agree to participate in this study.,A toy car,Object,I am still unsure,"If you selected unsure in previous question, choose this option","Size in relation to other objects,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Both equally,A toy car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Both equally,"Blurriness or sharpness of fore/background,Texture/reflections or graininess",A real car,Surrounding (Environment around the car),A real car,Surrounding (Environment around the car),"Size in relation to other objects,Texture/reflections or graininess",A toy car,Surrounding (Environment around the car),A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Blurriness or sharpness of fore/background",A toy car,Surrounding (Environment around the car),A real car,Surrounding (Environment around the car),"Size in relation to other objects,Texture/reflections or graininess,Context/environment in which the (toy) car can be seen"
2024-01-29 13:21:46,2024-01-29 13:26:18,IP Address,31.151.117.106,100,271,True,2024-01-29 13:26:18,R_6p3W7n0XJzR1Z8D,,,,,52.3782,4.853,anonymous,EN,agree to participate in this study.,A real car,Both equally,A real car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Texture/reflections or graininess,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Surrounding (Environment around the car),"Texture/reflections or graininess,Details on the (toy) car",A toy car,Object,A toy car,Object,"Texture/reflections or graininess,Details on the (toy) car",A real car,Surrounding (Environment around the car),A real car,Surrounding (Environment around the car),Context/environment in which the (toy) car can be seen,A toy car,Object,A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A real car,Both equally,A real car,Surrounding (Environment around the car),"Size in relation to other objects,Texture/reflections or graininess"
2024-01-29 13:17:28,2024-01-29 13:27:00,IP Address,143.178.139.140,100,572,True,2024-01-29 13:27:01,R_1gzhllaAfb4H0OS,,,,,52.0766,4.2633,anonymous,EN,agree to participate in this study.,A real car,Object,A real car,Both equally,Details on the (toy) car,A toy car,Object,A toy car,Object,"Blurriness or sharpness of fore/background,Details on the (toy) car",A toy car,Object,A toy car,Object,Details on the (toy) car,A real car,Object,A real car,Both equally,"Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Both equally,"Details on the (toy) car,Context/environment in which the (toy) car can be seen",A real car,Object,A real car,Both equally,"Size in relation to other objects,Details on the (toy) car,Context/environment in which the (toy) car can be seen"
2024-01-29 13:22:50,2024-01-29 13:29:05,IP Address,109.38.138.94,100,374,True,2024-01-29 13:29:05,R_8YXOQLR9F8pQNcK,,,,,52.3782,4.853,anonymous,EN,agree to participate in this study.,A real car,Surrounding (Environment around the car),A real car,Both equally,Size in relation to other objects,A toy car,Object,A toy car,Both equally,"Size in relation to other objects,Colour,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Both equally,"Blurriness or sharpness of fore/background,Texture/reflections or graininess,Details on the (toy) car",I am unsure,"If you selected unsure in previous question, choose this option",I am still unsure,"If you selected unsure in previous question, choose this option",Context/environment in which the (toy) car can be seen,A toy car,Object,A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Colour,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Object,A real car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Details on the (toy) car,Context/environment in which the (toy) car can be seen"
2024-01-29 13:24:14,2024-01-29 13:31:23,IP Address,84.110.59.167,100,429,True,2024-01-29 13:31:24,R_4ohxEtZVk3RNDb9,,,,,32.0803,34.7805,anonymous,EN,agree to participate in this study.,I am unsure,"If you selected unsure in previous question, choose this option",A real car,Surrounding (Environment around the car),"Size in relation to other objects,Texture/reflections or graininess,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Blurriness or sharpness of fore/background,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Surrounding (Environment around the car),"Blurriness or sharpness of fore/background,Details on the (toy) car",A toy car,Both equally,A toy car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Colour,Context/environment in which the (toy) car can be seen",I am unsure,"If you selected unsure in previous question, choose this option",A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Blurriness or sharpness of fore/background",A real car,Both equally,A real car,Both equally,"Colour,Context/environment in which the (toy) car can be seen"
2024-01-29 13:35:39,2024-01-29 13:40:38,IP Address,1.152.16.33,100,298,True,2024-01-29 13:40:39,R_43jWfwzQWUlgwMi,,,,,-37.8075,145.0331,anonymous,EN,agree to participate in this study.,A real car,Both equally,A real car,Surrounding (Environment around the car),"Size in relation to other objects,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Both equally,A toy car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A real car,Both equally,I am still unsure,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A real car,Both equally,A real car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A real car,Both equally,A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Blurriness or sharpness of fore/background,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A real car,Surrounding (Environment around the car),A real car,Surrounding (Environment around the car),Context/environment in which the (toy) car can be seen
2024-01-29 13:45:53,2024-01-29 13:50:46,IP Address,86.162.227.146,100,292,True,2024-01-29 13:50:47,R_5DYTfAL29HCciCt,,,,,51.0075,-3.1015,anonymous,EN,agree to participate in this study.,A toy car,Surrounding (Environment around the car),A real car,Surrounding (Environment around the car),"Size in relation to other objects,Blurriness or sharpness of fore/background,Texture/reflections or graininess,Details on the (toy) car",A toy car,Surrounding (Environment around the car),A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Blurriness or sharpness of fore/background,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A real car,Both equally,A toy car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Context/environment in which the (toy) car can be seen",A toy car,Surrounding (Environment around the car),I am still unsure,"If you selected unsure in previous question, choose this option","Colour,Texture/reflections or graininess,Details on the (toy) car",A toy car,Surrounding (Environment around the car),A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A real car,Surrounding (Environment around the car),A real car,Surrounding (Environment around the car),"Blurriness or sharpness of fore/background,Colour,Details on the (toy) car,Context/environment in which the (toy) car can be seen"
2024-01-29 13:56:23,2024-01-29 14:00:21,IP Address,77.173.105.15,100,238,True,2024-01-29 14:00:22,R_4Pw7fWmYKEZ4pqS,,,,,52.0941,5.0504,anonymous,EN,agree to participate in this study.,A toy car,Both equally,A toy car,Object,"Size in relation to other objects,Blurriness or sharpness of fore/background,Texture/reflections or graininess,Details on the (toy) car",A toy car,Object,A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Blurriness or sharpness of fore/background,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A real car,Object,A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Context/environment in which the (toy) car can be seen",A toy car,Both equally,A real car,Surrounding (Environment around the car),"Size in relation to other objects,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Context/environment in which the (toy) car can be seen",A toy car,Surrounding (Environment around the car),A toy car,Surrounding (Environment around the car),Details on the (toy) car
2024-01-29 14:04:54,2024-01-29 14:08:07,IP Address,2.206.176.172,100,193,True,2024-01-29 14:08:08,R_4V8viBVSdXCeRC4,,,,,53.5759,9.9492,anonymous,EN,agree to participate in this study.,A real car,Object,A real car,Object,"Size in relation to other objects,Blurriness or sharpness of fore/background,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Object,"Texture/reflections or graininess,Details on the (toy) car",A toy car,Object,A toy car,Object,"Blurriness or sharpness of fore/background,Colour,Details on the (toy) car",A toy car,Object,A toy car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Details on the (toy) car",A toy car,Both equally,A toy car,Surrounding (Environment around the car),Blurriness or sharpness of fore/background
2024-01-29 14:11:19,2024-01-29 14:16:50,IP Address,104.28.62.24,100,330,True,2024-01-29 14:16:51,R_49nCHo9kh33dPoZ,,,,,50.1188,8.6843,anonymous,EN,agree to participate in this study.,A real car,Both equally,A real car,Surrounding (Environment around the car),"Size in relation to other objects,Blurriness or sharpness of fore/background,Colour,Texture/reflections or graininess",A toy car,Object,A toy car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Texture/reflections or graininess",A toy car,Object,I am still unsure,"If you selected unsure in previous question, choose this option",Blurriness or sharpness of fore/background,A real car,Object,A real car,Surrounding (Environment around the car),"Size in relation to other objects,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Both equally,"Size in relation to other objects,Context/environment in which the (toy) car can be seen",A real car,Object,A real car,Both equally,"Size in relation to other objects,Colour,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen"
2024-01-29 14:15:34,2024-01-29 14:20:41,IP Address,109.38.158.112,100,307,True,2024-01-29 14:20:41,R_88IbNtRyHNwQpJT,,,,,52.3294,4.8739,anonymous,EN,agree to participate in this study.,A real car,Surrounding (Environment around the car),A real car,Surrounding (Environment around the car),"Size in relation to other objects,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Object,"Blurriness or sharpness of fore/background,Texture/reflections or graininess,Details on the (toy) car",I am unsure,"If you selected unsure in previous question, choose this option",I am still unsure,"If you selected unsure in previous question, choose this option","Blurriness or sharpness of fore/background,Details on the (toy) car",A toy car,Object,A toy car,Object,"Blurriness or sharpness of fore/background,Colour,Details on the (toy) car",A toy car,Both equally,A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Blurriness or sharpness of fore/background,Context/environment in which the (toy) car can be seen",A real car,Both equally,A real car,Surrounding (Environment around the car),"Size in relation to other objects,Blurriness or sharpness of fore/background,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen"
2024-01-29 14:18:03,2024-01-29 14:24:23,IP Address,80.187.102.133,100,380,True,2024-01-29 14:24:24,R_7PdOWuLKuxAmkAu,,,,,50.0027,8.2788,anonymous,EN,agree to participate in this study.,A real car,Object,A real car,Both equally,"Size in relation to other objects,Details on the (toy) car",A toy car,Object,A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Blurriness or sharpness of fore/background,Texture/reflections or graininess,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Both equally,"Blurriness or sharpness of fore/background,Other",A real car,Surrounding (Environment around the car),A real car,Surrounding (Environment around the car),"Size in relation to other objects,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Colour,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A real car,Object,A real car,Surrounding (Environment around the car),"Size in relation to other objects,Details on the (toy) car"
2024-01-29 14:30:12,2024-01-29 14:39:12,IP Address,212.200.181.123,100,540,True,2024-01-29 14:39:13,R_3WGMhxeq076ZJkQ,,,,,44.8046,20.4637,anonymous,EN,agree to participate in this study.,A real car,Surrounding (Environment around the car),A real car,Surrounding (Environment around the car),"Size in relation to other objects,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Details on the (toy) car",I am unsure,"If you selected unsure in previous question, choose this option",I am still unsure,"If you selected unsure in previous question, choose this option",Other,A real car,Surrounding (Environment around the car),A real car,Surrounding (Environment around the car),"Size in relation to other objects,Context/environment in which the (toy) car can be seen",A toy car,Both equally,A toy car,Both equally,"Size in relation to other objects,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A real car,Both equally,A real car,Both equally,"Size in relation to other objects,Context/environment in which the (toy) car can be seen"
2024-01-29 14:45:46,2024-01-29 14:50:14,IP Address,91.89.16.196,100,267,True,2024-01-29 14:50:15,R_1C3Ivf3xUOlcbqj,,,,,48.4892,9.2053,anonymous,EN,agree to participate in this study.,A real car,Object,A real car,Surrounding (Environment around the car),"Size in relation to other objects,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Blurriness or sharpness of fore/background,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Object,"Blurriness or sharpness of fore/background,Details on the (toy) car",A toy car,Surrounding (Environment around the car),A real car,Surrounding (Environment around the car),Context/environment in which the (toy) car can be seen,A toy car,Object,A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A real car,Both equally,A real car,Both equally,"Size in relation to other objects,Colour,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen"
2024-01-29 14:50:47,2024-01-29 14:54:24,IP Address,46.5.255.206,100,216,True,2024-01-29 14:54:25,R_4zA3AWb5WLmUgdO,,,,,48.4942,9.1666,anonymous,EN,agree to participate in this study.,A toy car,Object,A real car,Object,"Size in relation to other objects,Texture/reflections or graininess,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A real car,Object,A toy car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Texture/reflections or graininess,Details on the (toy) car",A toy car,Object,A real car,Surrounding (Environment around the car),"Colour,Texture/reflections or graininess,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Object,"Size in relation to other objects,Blurriness or sharpness of fore/background,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A real car,Object,A real car,Object,"Size in relation to other objects,Colour,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen"
2024-01-29 15:09:56,2024-01-29 15:14:39,IP Address,178.85.155.247,100,282,True,2024-01-29 15:14:39,R_5JVNlJrvMKjhJYw,,,,,52.364,4.866,anonymous,EN,agree to participate in this study.,A real car,Both equally,A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Details on the (toy) car",A toy car,Object,A toy car,Object,Context/environment in which the (toy) car can be seen,A toy car,Object,A toy car,Object,Details on the (toy) car,A toy car,Object,A toy car,Object,"Size in relation to other objects,Details on the (toy) car",A toy car,Object,A toy car,Both equally,"Size in relation to other objects,Details on the (toy) car",A toy car,Object,A real car,Surrounding (Environment around the car),Context/environment in which the (toy) car can be seen
2024-01-29 15:45:41,2024-01-29 15:57:52,IP Address,5.65.47.147,100,730,True,2024-01-29 15:57:53,R_6Vf1qFyQS0r0sBS,,,,,51.434,0.3486,anonymous,EN,agree to participate in this study.,A real car,Both equally,A toy car,Object,Size in relation to other objects,A toy car,Object,A toy car,Both equally,Details on the (toy) car,A real car,Both equally,A toy car,Both equally,"Blurriness or sharpness of fore/background,Texture/reflections or graininess",A toy car,Object,A toy car,Object,"Size in relation to other objects,Details on the (toy) car",A toy car,Object,A toy car,Both equally,"Size in relation to other objects,Details on the (toy) car",I am unsure,Both equally,A toy car,Both equally,Size in relation to other objects
2024-01-29 15:59:32,2024-01-29 16:10:20,IP Address,91.223.100.21,100,648,True,2024-01-29 16:10:21,R_3de0aNvzPPVaFrP,,,,,51.5088,-0.093,anonymous,EN,agree to participate in this study.,A real car,Surrounding (Environment around the car),A real car,Both equally,"Size in relation to other objects,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Both equally,"Size in relation to other objects,Texture/reflections or graininess,Details on the (toy) car",A toy car,Object,A toy car,Object,"Texture/reflections or graininess,Details on the (toy) car",I am unsure,"If you selected unsure in previous question, choose this option",A real car,Surrounding (Environment around the car),"Size in relation to other objects,Texture/reflections or graininess,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Both equally,"Size in relation to other objects,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A real car,Object,A real car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Details on the (toy) car,Context/environment in which the (toy) car can be seen"
2024-01-29 16:27:18,2024-01-29 16:33:13,IP Address,80.115.238.202,100,355,True,2024-01-29 16:33:14,R_3OVe0xCGB88q95T,,,,,52.36,4.8084,anonymous,EN,agree to participate in this study.,A real car,Surrounding (Environment around the car),A real car,Surrounding (Environment around the car),Size in relation to other objects,A toy car,Object,A toy car,Object,Details on the (toy) car,I am unsure,"If you selected unsure in previous question, choose this option",A real car,Object,Context/environment in which the (toy) car can be seen,A real car,Both equally,A real car,Both equally,"Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Object,Details on the (toy) car,A real car,Object,A real car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Colour,Details on the (toy) car,Context/environment in which the (toy) car can be seen"
2024-01-29 19:07:03,2024-01-29 19:09:50,IP Address,223.197.185.28,100,166,True,2024-01-29 19:09:51,R_4n2A4TMKqETPLIo,,,,,22.2908,114.1501,anonymous,EN,agree to participate in this study.,A real car,Both equally,A real car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Both equally,Size in relation to other objects,A toy car,Both equally,A toy car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Both equally,A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Blurriness or sharpness of fore/background,Colour,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Both equally,A toy car,Surrounding (Environment around the car),"Blurriness or sharpness of fore/background,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A real car,Both equally,A real car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen"
2024-01-29 16:33:03,2024-01-29 19:19:35,IP Address,32.221.188.146,100,9991,True,2024-01-29 19:19:35,R_5f6dYQI7AkhrPuV,,,,,41.6853,-72.9296,anonymous,EN,agree to participate in this study.,A real car,Both equally,A real car,Object,"Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Surrounding (Environment around the car),A toy car,Surrounding (Environment around the car),Context/environment in which the (toy) car can be seen,I am unsure,Both equally,A toy car,Surrounding (Environment around the car),Blurriness or sharpness of fore/background,A real car,Surrounding (Environment around the car),A real car,Surrounding (Environment around the car),Size in relation to other objects,A toy car,Surrounding (Environment around the car),A toy car,Surrounding (Environment around the car),Context/environment in which the (toy) car can be seen,A real car,Surrounding (Environment around the car),A real car,Surrounding (Environment around the car),Size in relation to other objects
2024-01-29 19:13:43,2024-01-29 19:20:40,IP Address,112.204.18.89,100,416,True,2024-01-29 19:20:41,R_4NwVtnO3LgF5NCI,,,,,14.5653,121.1078,anonymous,EN,agree to participate in this study.,A toy car,Object,A toy car,Both equally,"Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Texture/reflections or graininess,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Object,"Colour,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Both equally,"Blurriness or sharpness of fore/background,Texture/reflections or graininess,Details on the (toy) car",A toy car,Object,A toy car,Both equally,"Size in relation to other objects,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Both equally,A real car,Both equally,"Size in relation to other objects,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen"
2024-01-29 23:45:33,2024-01-29 23:50:00,IP Address,178.197.195.131,100,267,True,2024-01-29 23:50:01,R_6jUk6jkspFIsnVu,,,,,46.4336,6.9057,anonymous,EN,agree to participate in this study.,A real car,Object,A real car,Both equally,"Size in relation to other objects,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Both equally,"Size in relation to other objects,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Both equally,"Blurriness or sharpness of fore/background,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Object,A real car,Both equally,"Size in relation to other objects,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Both equally,"Size in relation to other objects,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A real car,Object,A real car,Both equally,"Size in relation to other objects,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen"
2024-01-30 00:36:05,2024-01-30 00:47:01,IP Address,77.189.179.145,100,656,True,2024-01-30 00:47:02,R_63nswzcYrCemyIx,,,,,50.1442,8.6587,anonymous,EN,agree to participate in this study.,A real car,Object,A real car,Object,Details on the (toy) car,A toy car,Object,A toy car,Object,"Size in relation to other objects,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Object,Details on the (toy) car,A toy car,Object,A toy car,Both equally,"Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Both equally,"Size in relation to other objects,Details on the (toy) car",A toy car,Object,A toy car,Object,"Texture/reflections or graininess,Details on the (toy) car"
2024-01-30 01:07:32,2024-01-30 01:11:17,IP Address,84.174.16.51,100,225,True,2024-01-30 01:11:18,R_3uNHu3I7fpwZCjn,,,,,52.4732,13.3147,anonymous,EN,agree to participate in this study.,A real car,Both equally,A real car,Surrounding (Environment around the car),"Size in relation to other objects,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Object,"Texture/reflections or graininess,Details on the (toy) car",A toy car,Object,A toy car,Object,"Blurriness or sharpness of fore/background,Details on the (toy) car",A real car,Both equally,A real car,Surrounding (Environment around the car),Context/environment in which the (toy) car can be seen,A toy car,Object,A toy car,Object,"Size in relation to other objects,Colour,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A real car,Object,A real car,Both equally,"Size in relation to other objects,Colour,Context/environment in which the (toy) car can be seen"
2024-01-30 01:14:12,2024-01-30 01:31:16,IP Address,111.65.47.107,100,1023,True,2024-01-30 01:31:16,R_4g746ZgEJuW65Bk,,,,,1.3596,103.8637,anonymous,EN,agree to participate in this study.,A real car,Both equally,A real car,Surrounding (Environment around the car),"Size in relation to other objects,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Details on the (toy) car",I am unsure,"If you selected unsure in previous question, choose this option",A toy car,Object,"Colour,Details on the (toy) car",A real car,Object,A real car,Surrounding (Environment around the car),Context/environment in which the (toy) car can be seen,A toy car,Object,A toy car,Both equally,"Size in relation to other objects,Texture/reflections or graininess",A real car,Object,A real car,Surrounding (Environment around the car),"Size in relation to other objects,Blurriness or sharpness of fore/background,Context/environment in which the (toy) car can be seen"
2024-01-30 01:28:59,2024-01-30 01:35:49,IP Address,84.151.171.87,100,410,True,2024-01-30 01:35:50,R_4e8ZtLEUj2Gr1vD,,,,,48.5253,9.0139,anonymous,EN,agree to participate in this study.,A real car,Object,A real car,Object,"Size in relation to other objects,Blurriness or sharpness of fore/background,Colour,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Both equally,A toy car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Context/environment in which the (toy) car can be seen",A toy car,Both equally,A toy car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A real car,Object,A real car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Colour,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Both equally,A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A real car,Both equally,A real car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen"
2024-01-30 01:40:28,2024-01-30 01:53:59,IP Address,84.241.195.242,100,810,True,2024-01-30 01:54:00,R_2meMBAhDG4baSOF,,,,,52.3766,4.835,anonymous,EN,agree to participate in this study.,I am unsure,Object,I am still unsure,Object,Details on the (toy) car,A toy car,Surrounding (Environment around the car),A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Blurriness or sharpness of fore/background,Texture/reflections or graininess",A real car,Object,A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Blurriness or sharpness of fore/background,Colour,Texture/reflections or graininess",A real car,Object,A real car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Colour,Texture/reflections or graininess,Context/environment in which the (toy) car can be seen",A real car,Object,A real car,Both equally,"Size in relation to other objects,Colour,Details on the (toy) car,Context/environment in which the (toy) car can be seen"
2024-01-30 01:51:54,2024-01-30 01:57:30,IP Address,89.245.176.202,100,336,True,2024-01-30 01:57:31,R_7BrI9lbemEt1UCB,,,,,51.4199,6.7978,anonymous,EN,agree to participate in this study.,I am unsure,"If you selected unsure in previous question, choose this option",A toy car,Object,"Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Object,"Size in relation to other objects,Blurriness or sharpness of fore/background,Colour,Details on the (toy) car",A toy car,Object,A toy car,Object,"Texture/reflections or graininess,Details on the (toy) car",A toy car,Object,A toy car,Both equally,"Colour,Details on the (toy) car",A toy car,Object,A toy car,Object,"Blurriness or sharpness of fore/background,Texture/reflections or graininess,Details on the (toy) car",A real car,Both equally,A real car,Both equally,"Colour,Texture/reflections or graininess,Details on the (toy) car"
2024-01-30 02:16:02,2024-01-30 02:23:22,IP Address,84.29.228.193,100,439,True,2024-01-30 02:23:22,R_20VtoejjE31JZse,,,,,52.2829,4.8287,anonymous,EN,agree to participate in this study.,A toy car,Object,A real car,Surrounding (Environment around the car),Context/environment in which the (toy) car can be seen,A toy car,Object,A toy car,Object,Size in relation to other objects,A toy car,Object,A toy car,Object,Texture/reflections or graininess,A toy car,Object,A real car,Surrounding (Environment around the car),Context/environment in which the (toy) car can be seen,A toy car,Object,A toy car,Surrounding (Environment around the car),Context/environment in which the (toy) car can be seen,A toy car,Object,A real car,Both equally,Context/environment in which the (toy) car can be seen
